#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 198000      1.62e-01      2.54e-04      9.30e-03    3.0e-04
 200000      1.58e-01      8.91e-05      9.08e-03    3.0e-04
 202000      1.76e-01      1.22e-03      9.95e-03    3.0e-04
 204000      2.99e-01      1.33e-03      1.70e-02    3.0e-04
 206000      1.58e-01      8.20e-04      8.98e-03    3.0e-04
 208000      1.38e-01      7.41e-04      7.84e-03    3.0e-04
 210000      1.51e-01      5.05e-04      8.91e-03    2.8e-04
 212000      1.38e-01      4.59e-04      8.15e-03    2.8e-04
 214000      1.33e-01      8.70e-04      7.82e-03    2.8e-04
 216000      1.40e-01      2.31e-04      8.31e-03    2.8e-04
 218000      1.61e-01      2.98e-04      9.56e-03    2.8e-04
 220000      1.32e-01      1.10e-03      7.89e-03    2.7e-04
 222000      1.49e-01      1.19e-04      9.14e-03    2.7e-04
 224000      1.31e-01      1.02e-03      7.84e-03    2.7e-04
 226000      1.32e-01      3.53e-04      8.06e-03    2.7e-04
 228000      1.38e-01      1.21e-03      8.24e-03    2.7e-04
 230000      1.63e-01      2.68e-04      9.97e-03    2.7e-04
 232000      1.61e-01      8.34e-04      1.01e-02    2.5e-04
 234000      1.35e-01      1.10e-03      8.33e-03    2.5e-04
 236000      1.58e-01      5.55e-04      9.95e-03    2.5e-04
 238000      1.28e-01      5.24e-05      8.08e-03    2.5e-04
 240000      1.34e-01      4.57e-04      8.44e-03    2.5e-04
 242000      1.31e-01      2.93e-04      8.57e-03    2.3e-04
 244000      1.48e-01      7.92e-04      9.64e-03    2.3e-04
 246000      1.46e-01      1.72e-04      9.57e-03    2.3e-04
 248000      1.58e-01      8.24e-04      1.02e-02    2.3e-04
 250000      1.56e-01      2.15e-04      1.02e-02    2.3e-04
 252000      1.29e-01      5.15e-04      8.43e-03    2.3e-04
 254000      1.26e-01      8.92e-04      8.39e-03    2.2e-04
 256000      1.51e-01      2.67e-04      1.02e-02    2.2e-04
 258000      1.50e-01      5.35e-04      1.01e-02    2.2e-04
 260000      1.26e-01      1.30e-03      8.25e-03    2.2e-04
 262000      1.39e-01      2.02e-03      8.61e-03    2.2e-04
 264000      1.16e-01      2.30e-04      8.11e-03    2.0e-04
 266000      1.21e-01      2.96e-04      8.46e-03    2.0e-04
 268000      1.75e-01      5.19e-04      1.22e-02    2.0e-04
 270000      1.16e-01      6.53e-04      8.05e-03    2.0e-04
 272000      1.16e-01      4.39e-04      8.09e-03    2.0e-04
 274000      1.23e-01      7.77e-05      8.59e-03    2.0e-04
 276000      1.95e-01      6.25e-04      1.40e-02    1.9e-04
 278000      1.25e-01      2.76e-04      9.06e-03    1.9e-04
 280000      1.39e-01      9.26e-04      9.92e-03    1.9e-04
 282000      1.13e-01      1.07e-03      7.86e-03    1.9e-04
 284000      1.29e-01      1.27e-03      8.98e-03    1.9e-04
 286000      1.36e-01      1.13e-04      1.01e-02    1.8e-04
 288000      1.35e-01      4.12e-04      1.00e-02    1.8e-04
 290000      1.35e-01      8.69e-04      9.91e-03    1.8e-04
 292000      1.36e-01      8.48e-04      1.00e-02    1.8e-04
 294000      1.06e-01      7.49e-05      7.92e-03    1.8e-04
 296000      1.18e-01      1.81e-03      8.11e-03    1.8e-04
 298000      1.37e-01      1.38e-03      1.03e-02    1.7e-04
 300000      1.06e-01      3.45e-04      8.14e-03    1.7e-04
 302000      1.15e-01      8.91e-05      8.87e-03    1.7e-04
 304000      1.32e-01      7.86e-04      1.01e-02    1.7e-04
 306000      1.03e-01      3.31e-04      7.94e-03    1.7e-04
 308000      1.10e-01      7.17e-04      8.61e-03    1.6e-04
 310000      1.02e-01      4.90e-04      8.03e-03    1.6e-04
 312000      1.25e-01      2.53e-04      9.94e-03    1.6e-04
 314000      1.16e-01      5.37e-04      9.16e-03    1.6e-04
 316000      1.07e-01      9.71e-04      8.33e-03    1.6e-04
 318000      1.25e-01      4.21e-04      9.93e-03    1.6e-04
 320000      9.94e-02      1.25e-03      7.77e-03    1.5e-04
 322000      1.23e-01      1.18e-03      9.87e-03    1.5e-04
 324000      1.20e-01      1.59e-04      9.88e-03    1.5e-04
 326000      1.30e-01      3.46e-04      1.07e-02    1.5e-04
 328000      9.84e-02      2.57e-04      8.10e-03    1.5e-04
 330000      1.01e-01      4.27e-05      8.65e-03    1.4e-04
 332000      1.19e-01      5.88e-05      1.01e-02    1.4e-04
 334000      1.21e-01      9.85e-04      1.01e-02    1.4e-04
 336000      9.68e-02      1.47e-04      8.25e-03    1.4e-04
 338000      1.10e-01      1.32e-03      8.79e-03    1.4e-04
 340000      1.19e-01      1.52e-03      9.56e-03    1.4e-04
 342000      1.21e-01      1.37e-03      1.02e-02    1.3e-04
 344000      9.77e-02      1.32e-03      7.89e-03    1.3e-04
 346000      1.32e-01      2.74e-04      1.16e-02    1.3e-04
 348000      1.03e-01      1.21e-03      8.51e-03    1.3e-04
 350000      9.26e-02      6.56e-05      8.16e-03    1.3e-04
 352000      1.68e-01      1.13e-03      1.50e-02    1.2e-04
 354000      9.75e-02      5.48e-04      8.76e-03    1.2e-04
 356000      8.90e-02      1.15e-04      8.11e-03    1.2e-04
 358000      8.59e-02      1.47e-04      7.82e-03    1.2e-04
 360000      1.14e-01      1.21e-03      9.97e-03    1.2e-04
 362000      9.23e-02      7.75e-04      8.15e-03    1.2e-04
 364000      9.23e-02      8.94e-04      8.32e-03    1.1e-04
