#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 862000      3.85e-02      3.83e-04      1.42e-02    5.6e-06
 864000      3.07e-02      5.79e-04      9.52e-03    5.6e-06
 866000      2.11e-02      1.02e-06      8.20e-03    5.6e-06
 868000      3.78e-02      4.12e-04      1.40e-02    5.6e-06
 870000      2.66e-02      3.50e-04      9.92e-03    5.3e-06
 872000      4.56e-02      5.06e-04      1.70e-02    5.3e-06
 874000      3.50e-02      4.59e-04      1.27e-02    5.3e-06
 876000      2.60e-02      3.35e-04      9.50e-03    5.3e-06
 878000      2.24e-02      2.71e-04      8.25e-03    5.3e-06
 880000      2.01e-02      5.88e-05      8.20e-03    4.9e-06
 882000      3.20e-02      7.17e-04      1.03e-02    4.9e-06
 884000      2.75e-02      4.04e-04      1.03e-02    4.9e-06
 886000      2.35e-02      2.54e-04      9.08e-03    4.9e-06
 888000      2.21e-02      3.92e-04      7.90e-03    4.9e-06
 890000      2.61e-02      4.12e-04      9.26e-03    4.9e-06
 892000      2.04e-02      1.11e-04      8.46e-03    4.6e-06
 894000      1.92e-02      8.25e-05      8.02e-03    4.6e-06
 896000      2.12e-02      2.45e-04      8.32e-03    4.6e-06
 898000      3.31e-02      8.19e-04      1.02e-02    4.6e-06
 900000      2.02e-02      1.35e-04      8.35e-03    4.6e-06
 902000      2.48e-02      2.79e-04      1.02e-02    4.3e-06
 904000      2.43e-02      4.15e-04      8.87e-03    4.3e-06
 906000      2.78e-02      4.35e-04      1.04e-02    4.3e-06
 908000      2.27e-02      2.90e-05      9.81e-03    4.3e-06
 910000      2.05e-02      1.95e-04      8.48e-03    4.3e-06
 912000      1.92e-02      8.90e-05      8.24e-03    4.3e-06
 914000      2.63e-02      4.54e-04      1.03e-02    4.0e-06
 916000      2.13e-02      2.33e-04      8.87e-03    4.0e-06
 918000      2.09e-02      1.45e-04      9.09e-03    4.0e-06
 920000      2.76e-02      5.76e-04      1.00e-02    4.0e-06
 922000      2.42e-02      3.17e-04      9.82e-03    4.0e-06
 924000      2.80e-02      2.97e-04      1.21e-02    3.8e-06
 926000      1.84e-02      9.46e-05      8.32e-03    3.8e-06
 928000      2.56e-02      5.04e-04      9.83e-03    3.8e-06
 930000      2.96e-02      7.20e-04      1.01e-02    3.8e-06
 932000      2.63e-02      5.94e-04      9.44e-03    3.8e-06
 934000      1.90e-02      1.94e-04      8.21e-03    3.8e-06
 936000      2.96e-02      7.47e-04      9.99e-03    3.5e-06
 938000      2.09e-02      2.69e-04      8.94e-03    3.5e-06
 940000      3.81e-02      5.05e-04      1.62e-02    3.5e-06
 942000      2.02e-02      3.02e-04      8.32e-03    3.5e-06
 944000      1.91e-02      2.35e-04      8.28e-03    3.5e-06
 946000      1.86e-02      4.27e-05      8.92e-03    3.3e-06
 948000      1.83e-02      1.58e-04      8.48e-03    3.3e-06
 950000      2.58e-02      5.71e-04      9.86e-03    3.3e-06
 952000      2.57e-02      6.72e-04      8.61e-03    3.3e-06
 954000      1.91e-02      1.47e-06      9.22e-03    3.3e-06
 956000      1.74e-02      4.75e-05      8.35e-03    3.3e-06
 958000      1.90e-02      1.62e-04      9.01e-03    3.1e-06
 960000      2.32e-02      4.36e-04      9.20e-03    3.1e-06
 962000      2.33e-02      4.00e-04      1.01e-02    3.1e-06
 964000      2.48e-02      5.16e-04      1.00e-02    3.1e-06
 966000      2.20e-02      4.20e-04      8.61e-03    3.1e-06
 968000      1.71e-02      1.87e-04      8.09e-03    2.9e-06
 970000      2.54e-02      1.67e-04      1.26e-02    2.9e-06
 972000      2.37e-02      5.11e-04      8.73e-03    2.9e-06
 974000      2.34e-02      4.49e-04      9.39e-03    2.9e-06
 976000      2.11e-02      5.36e-04      7.63e-03    2.9e-06
 978000      2.26e-02      3.29e-04      1.05e-02    2.9e-06
 980000      1.58e-02      1.27e-04      7.92e-03    2.7e-06
 982000      1.73e-02      7.00e-05      8.92e-03    2.7e-06
 984000      1.58e-02      5.74e-06      8.19e-03    2.7e-06
 986000      1.62e-02      1.06e-04      8.24e-03    2.7e-06
 988000      2.37e-02      4.97e-04      9.18e-03    2.7e-06
 990000      2.91e-02      7.98e-04      1.01e-02    2.5e-06
 992000      1.64e-02      2.16e-04      7.93e-03    2.5e-06
 994000      1.70e-02      1.00e-04      8.89e-03    2.5e-06
 996000      2.34e-02      5.33e-04      9.65e-03    2.5e-06
 998000      1.94e-02      1.87e-04      9.81e-03    2.5e-06
1000000      2.27e-02      4.27e-04      1.03e-02    2.5e-06
1002000      2.68e-02      2.01e-04      1.42e-02    2.4e-06
1004000      2.89e-02      7.27e-04      9.39e-03    2.4e-06
1006000      1.72e-02      1.53e-04      8.95e-03    2.4e-06
1008000      1.64e-02      6.21e-05      8.84e-03    2.4e-06
1010000      2.04e-02      4.48e-04      7.94e-03    2.4e-06
1012000      2.47e-02      6.04e-04      1.01e-02    2.2e-06
1014000      1.66e-02      2.27e-04      8.32e-03    2.2e-06
1016000      1.69e-02      2.30e-04      8.48e-03    2.2e-06
1018000      2.18e-02      4.35e-04      1.01e-02    2.2e-06
1020000      1.66e-02      2.35e-04      8.25e-03    2.2e-06
1022000      1.70e-02      2.84e-04      8.03e-03    2.2e-06
1024000      1.52e-02      1.77e-04      8.04e-03    2.1e-06
1026000      1.96e-02      2.96e-04      9.81e-03    2.1e-06
1028000      1.53e-02      3.65e-06      8.69e-03    2.1e-06
1030000      2.06e-02      5.06e-04      8.63e-03    2.1e-06
1032000      2.32e-02      5.53e-04      9.96e-03    2.1e-06
1034000      2.11e-02      5.84e-04      7.90e-03    1.9e-06
1036000      1.38e-02      6.16e-05      7.94e-03    1.9e-06
1038000      1.82e-02      4.08e-04      8.32e-03    1.9e-06
1040000      1.89e-02      3.42e-04      8.98e-03    1.9e-06
1042000      2.57e-02      5.90e-04      1.02e-02    1.9e-06
1044000      1.40e-02      4.92e-05      8.10e-03    1.9e-06
1046000      2.42e-02      5.25e-04      1.04e-02    1.8e-06
1048000      1.49e-02      1.67e-04      8.27e-03    1.8e-06
1050000      1.51e-02      1.16e-04      8.73e-03    1.8e-06
1052000      2.19e-02      1.91e-04      1.26e-02    1.8e-06
1054000      2.08e-02      4.50e-04      9.96e-03    1.8e-06
1056000      1.41e-02      7.00e-05      8.47e-03    1.7e-06
1058000      1.36e-02      1.25e-05      8.28e-03    1.7e-06
1060000      1.80e-02      3.40e-04      8.74e-03    1.7e-06
1062000      1.56e-02      2.24e-04      8.47e-03    1.7e-06
1064000      1.99e-02      4.17e-04      9.88e-03    1.7e-06
1066000      2.84e-02      3.07e-04      1.62e-02    1.7e-06
1068000      1.41e-02      1.52e-04      8.20e-03    1.6e-06
1070000      1.35e-02      1.93e-05      8.38e-03    1.6e-06
1072000      1.49e-02      2.12e-04      8.24e-03    1.6e-06
1074000      2.02e-02      4.35e-04      1.01e-02    1.6e-06
1076000      1.50e-02      7.34e-05      9.23e-03    1.6e-06
1078000      2.19e-02      5.77e-04      9.50e-03    1.5e-06
1080000      1.45e-02      2.30e-04      7.94e-03    1.5e-06
1082000      1.49e-02      2.28e-04      8.26e-03    1.5e-06
1084000      1.42e-02      1.26e-04      8.63e-03    1.5e-06
1086000      1.44e-02      1.41e-04      8.67e-03    1.5e-06
1088000      1.64e-02      3.08e-04      8.30e-03    1.5e-06
1090000      2.07e-02      5.04e-04      9.93e-03    1.4e-06
1092000      1.73e-02      3.50e-04      9.26e-03    1.4e-06
1094000      2.71e-02      3.22e-04      1.62e-02    1.4e-06
1096000      2.12e-02      5.56e-04      9.44e-03    1.4e-06
1098000      2.41e-02      7.53e-04      7.92e-03    1.4e-06
1100000      1.55e-02      2.86e-04      8.25e-03    1.3e-06
1102000      1.48e-02      2.25e-04      8.50e-03    1.3e-06
1104000      1.48e-02      2.18e-04      8.63e-03    1.3e-06
1106000      2.12e-02      3.33e-04      1.21e-02    1.3e-06
1108000      1.99e-02      4.33e-04      1.04e-02    1.3e-06
1110000      1.27e-02      1.10e-04      8.01e-03    1.3e-06
1112000      1.94e-02      5.22e-04      8.77e-03    1.2e-06
1114000      1.46e-02      2.10e-04      8.67e-03    1.2e-06
1116000      1.33e-02      1.26e-04      8.49e-03    1.2e-06
1118000      1.54e-02      2.44e-04      8.96e-03    1.2e-06
1120000      2.34e-02      6.37e-04      1.03e-02    1.2e-06
1122000      1.65e-02      6.63e-05      1.12e-02    1.1e-06
1124000      1.97e-02      4.47e-04      9.30e-03    1.1e-06
1126000      1.19e-02      3.38e-05      8.11e-03    1.1e-06
1128000      2.20e-02      5.91e-04      1.01e-02    1.1e-06
1130000      1.37e-02      1.98e-04      8.29e-03    1.1e-06
1132000      2.05e-02      5.96e-04      8.32e-03    1.1e-06
1134000      1.42e-02      2.12e-04      8.69e-03    1.1e-06
1136000      1.41e-02      2.50e-04      8.07e-03    1.1e-06
1138000      1.38e-02      2.18e-04      8.31e-03    1.1e-06
1140000      2.08e-02      5.30e-04      1.03e-02    1.1e-06
1142000      2.18e-02      4.17e-04      1.21e-02    1.1e-06
1144000      1.45e-02      1.99e-04      9.24e-03    1.0e-06
1146000      1.13e-02      1.34e-05      8.01e-03    1.0e-06
1148000      2.01e-02      5.10e-04      1.01e-02    1.0e-06
1150000      2.33e-02      6.65e-04      1.01e-02    1.0e-06
1152000      1.56e-02      2.85e-04      8.96e-03    1.0e-06
1154000      1.21e-02      7.01e-05      8.39e-03    1.0e-06
1156000      1.40e-02      1.74e-04      9.24e-03    9.4e-07
1158000      1.21e-02      1.21e-04      8.26e-03    9.4e-07
1160000      1.96e-02      4.74e-04      1.05e-02    9.4e-07
1162000      1.22e-02      1.61e-04      7.97e-03    9.4e-07
1164000      1.22e-02      1.33e-04      8.22e-03    9.4e-07
1166000      1.74e-02      4.56e-04      8.78e-03    8.8e-07
1168000      1.81e-02      4.35e-04      9.89e-03    8.8e-07
1170000      2.14e-02      5.81e-04      1.03e-02    8.8e-07
1172000      1.26e-02      1.38e-04      8.63e-03    8.8e-07
1174000      1.37e-02      1.87e-04      8.97e-03    8.8e-07
1176000      1.23e-02      1.47e-04      8.26e-03    8.8e-07
1178000      1.73e-02      5.00e-04      7.68e-03    8.2e-07
1180000      1.25e-02      1.62e-04      8.45e-03    8.2e-07
1182000      1.95e-02      5.14e-04      9.97e-03    8.2e-07
1184000      1.99e-02      5.08e-04      1.04e-02    8.2e-07
1186000      2.20e-02      6.25e-04      1.01e-02    8.2e-07
1188000      1.20e-02      1.36e-04      8.41e-03    7.7e-07
1190000      1.46e-02      2.91e-04      8.50e-03    7.7e-07
1192000      1.97e-02      5.29e-04      9.97e-03    7.7e-07
1194000      2.59e-02      4.24e-04      1.67e-02    7.7e-07
1196000      1.87e-02      5.29e-04      8.78e-03    7.7e-07
1198000      1.97e-02      5.88e-04      8.44e-03    7.7e-07
1200000      1.20e-02      1.40e-04      8.49e-03    7.2e-07
1202000      1.20e-02      1.43e-04      8.50e-03    7.2e-07
1204000      1.29e-02      1.66e-04      8.96e-03    7.2e-07
1206000      2.87e-02      3.75e-04      1.99e-02    7.2e-07
1208000      1.95e-02      5.21e-04      1.01e-02    7.2e-07
1210000      1.13e-02      1.44e-04      8.00e-03    6.7e-07
1212000      1.97e-02      5.39e-04      9.98e-03    6.7e-07
1214000      1.91e-02      5.07e-04      1.01e-02    6.7e-07
1216000      1.86e-02      5.08e-04      9.44e-03    6.7e-07
1218000      2.59e-02      4.52e-04      1.67e-02    6.7e-07
1220000      1.11e-02      6.28e-05      8.41e-03    6.7e-07
1222000      1.84e-02      4.72e-04      1.02e-02    6.3e-07
1224000      1.06e-02      3.57e-05      8.28e-03    6.3e-07
1226000      1.91e-02      5.26e-04      9.68e-03    6.3e-07
1228000      2.26e-02      3.80e-04      1.49e-02    6.3e-07
1230000      1.81e-02      4.29e-04      9.26e-03    6.3e-07
1232000      1.35e-02      2.28e-04      9.04e-03    5.9e-07
1234000      1.46e-02      3.28e-04      8.08e-03    5.9e-07
1236000      1.07e-02      8.30e-05      8.22e-03    5.9e-07
1238000      1.22e-02      2.16e-04      8.02e-03    5.9e-07
1240000      2.19e-02      3.50e-04      1.49e-02    5.9e-07
1242000      1.20e-02      1.40e-04      8.87e-03    5.9e-07
1244000      1.12e-02      1.37e-04      8.29e-03    5.5e-07
1246000      1.79e-02      4.65e-04      1.00e-02    5.5e-07
1248000      1.02e-02      5.27e-05      8.06e-03    5.5e-07
1250000      1.21e-02      1.37e-04      9.04e-03    5.5e-07
1252000      1.19e-02      1.34e-04      8.93e-03    5.5e-07
1254000      1.51e-02      1.95e-04      1.12e-02    5.2e-07
1256000      1.20e-02      1.89e-04      8.40e-03    5.2e-07
1258000      1.79e-02      4.92e-04      9.44e-03    5.2e-07
1260000      1.45e-02      2.38e-04      1.01e-02    5.2e-07
1262000      1.87e-02      5.08e-04      1.01e-02    5.2e-07
1264000      1.20e-02      1.96e-04      8.33e-03    5.2e-07
1266000      1.16e-02      1.70e-04      8.42e-03    4.8e-07
1268000      1.04e-02      1.15e-04      8.02e-03    4.8e-07
1270000      1.82e-02      4.84e-04      1.01e-02    4.8e-07
1272000      1.93e-02      5.39e-04      1.01e-02    4.8e-07
1274000      1.28e-02      2.36e-04      8.52e-03    4.8e-07
1276000      1.95e-02      5.43e-04      1.03e-02    4.5e-07
1278000      1.15e-02      1.42e-04      8.75e-03    4.5e-07
1280000      1.79e-02      5.02e-04      9.44e-03    4.5e-07
1282000      1.84e-02      4.86e-04      1.04e-02    4.5e-07
1284000      2.14e-02      4.06e-04      1.41e-02    4.5e-07
1286000      2.30e-02      3.84e-04      1.62e-02    4.5e-07
1288000      1.13e-02      1.66e-04      8.40e-03    4.2e-07
1290000      1.10e-02      1.65e-04      8.07e-03    4.2e-07
1292000      1.86e-02      5.55e-04      8.78e-03    4.2e-07
1294000      1.76e-02      4.80e-04      9.69e-03    4.2e-07
1296000      1.92e-02      5.34e-04      1.03e-02    4.2e-07
1298000      1.09e-02      1.64e-04      8.08e-03    4.0e-07
1300000      1.98e-02      5.65e-04      1.04e-02    4.0e-07
1302000      1.98e-02      5.61e-04      1.05e-02    4.0e-07
1304000      1.94e-02      5.38e-04      1.05e-02    4.0e-07
1306000      1.16e-02      1.68e-04      8.69e-03    4.0e-07
1308000      1.78e-02      4.67e-04      1.04e-02    4.0e-07
1310000      1.14e-02      2.06e-04      7.98e-03    3.7e-07
1312000      1.09e-02      1.30e-04      8.65e-03    3.7e-07
1314000      1.95e-02      5.62e-04      1.01e-02    3.7e-07
1316000      1.16e-02      1.97e-04      8.29e-03    3.7e-07
1318000      2.21e-02      3.25e-04      1.67e-02    3.7e-07
1320000      2.00e-02      6.34e-04      8.29e-03    3.5e-07
1322000      1.17e-02      1.81e-04      8.75e-03    3.5e-07
1324000      1.07e-02      1.28e-04      8.52e-03    3.5e-07
1326000      1.19e-02      2.14e-04      8.43e-03    3.5e-07
1328000      1.17e-02      2.12e-04      8.25e-03    3.5e-07
1330000      1.01e-02      9.39e-05      8.35e-03    3.5e-07
1332000      1.76e-02      5.50e-04      7.70e-03    3.2e-07
1334000      1.85e-02      5.85e-04      7.93e-03    3.2e-07
1336000      1.96e-02      5.93e-04      9.30e-03    3.2e-07
1338000      1.19e-02      2.13e-04      8.50e-03    3.2e-07
1340000      1.27e-02      2.35e-04      8.95e-03    3.2e-07
1342000      1.11e-02      1.83e-04      8.31e-03    3.0e-07
1344000      2.04e-02      2.71e-04      1.62e-02    3.0e-07
1346000      1.95e-02      5.75e-04      9.99e-03    3.0e-07
1348000      1.15e-02      1.78e-04      8.72e-03    3.0e-07
1350000      1.03e-02      1.32e-04      8.27e-03    3.0e-07
1352000      1.08e-02      1.61e-04      8.32e-03    3.0e-07
1354000      1.72e-02      3.05e-04      1.25e-02    2.8e-07
1356000      1.85e-02      5.31e-04      9.97e-03    2.8e-07
1358000      1.94e-02      5.67e-04      1.01e-02    2.8e-07
1360000      2.15e-02      5.71e-04      1.00e-02    2.8e-07
1362000      1.88e-02      5.40e-04      1.01e-02    2.8e-07
1364000      1.96e-02      3.58e-04      1.41e-02    2.7e-07
1366000      1.66e-02      4.94e-04      8.34e-03    2.7e-07
1368000      1.89e-02      5.39e-04      1.04e-02    2.7e-07
1370000      1.82e-02      5.66e-04      8.29e-03    2.7e-07
1372000      1.78e-02      4.89e-04      1.03e-02    2.7e-07
1374000      1.77e-02      4.96e-04      9.97e-03    2.7e-07
1376000      1.70e-02      4.32e-04      8.91e-03    2.5e-07
1378000      1.81e-02      5.04e-04      1.03e-02    2.5e-07
1380000      2.18e-02      3.32e-04      1.71e-02    2.5e-07
1382000      1.17e-02      1.83e-04      9.04e-03    2.5e-07
1384000      1.13e-02      2.16e-04      7.97e-03    2.5e-07
1386000      1.09e-02      1.80e-04      8.38e-03    2.3e-07
1388000      1.77e-02      4.86e-04      1.04e-02    2.3e-07
1390000      2.18e-02      3.61e-04      1.66e-02    2.3e-07
1392000      9.96e-03      1.20e-04      8.29e-03    2.3e-07
1394000      1.11e-02      2.04e-04      8.13e-03    2.3e-07
1396000      1.12e-02      1.84e-04      8.65e-03    2.3e-07
1398000      1.99e-02      3.53e-04      1.49e-02    2.2e-07
1400000      1.40e-02      2.79e-04      9.81e-03    2.2e-07
1402000      1.16e-02      2.21e-04      8.35e-03    2.2e-07
1404000      1.39e-02      2.64e-04      1.01e-02    2.2e-07
1406000      1.02e-02      1.44e-04      8.31e-03    2.2e-07
1408000      9.50e-03      8.31e-05      8.31e-03    2.0e-07
1410000      1.78e-02      5.62e-04      7.94e-03    2.0e-07
1412000      9.82e-03      7.40e-05      8.69e-03    2.0e-07
1414000      1.74e-02      4.78e-04      1.03e-02    2.0e-07
1416000      1.83e-02      5.22e-04      1.03e-02    2.0e-07
1418000      1.04e-02      1.55e-04      8.38e-03    2.0e-07
1420000      1.99e-02      6.03e-04      1.00e-02    1.9e-07
1422000      1.68e-02      5.10e-04      8.34e-03    1.9e-07
1424000      1.85e-02      5.40e-04      1.01e-02    1.9e-07
1426000      1.06e-02      1.62e-04      8.44e-03    1.9e-07
1428000      1.34e-02      2.54e-04      9.81e-03    1.9e-07
1430000      1.73e-02      4.82e-04      1.01e-02    1.8e-07
1432000      1.56e-02      2.38e-04      1.25e-02    1.8e-07
1434000      9.86e-03      1.22e-04      8.34e-03    1.8e-07
1436000      1.09e-02      1.31e-04      9.26e-03    1.8e-07
1438000      1.75e-02      4.79e-04      1.05e-02    1.8e-07
1440000      1.77e-02      4.66e-04      8.90e-03    1.8e-07
1442000      1.13e-02      2.05e-04      8.50e-03    1.7e-07
1444000      9.76e-03      1.38e-04      8.07e-03    1.7e-07
1446000      1.92e-02      3.67e-04      1.41e-02    1.7e-07
1448000      1.05e-02      1.71e-04      8.30e-03    1.7e-07
1450000      1.12e-02      1.99e-04      8.51e-03    1.7e-07
1452000      2.58e-02      4.54e-04      1.99e-02    1.6e-07
1454000      1.78e-02      5.30e-04      9.44e-03    1.6e-07
1456000      1.92e-02      3.68e-04      1.41e-02    1.6e-07
1458000      1.74e-02      5.50e-04      7.93e-03    1.6e-07
1460000      1.76e-02      4.92e-04      1.04e-02    1.6e-07
1462000      1.02e-02      1.68e-04      8.13e-03    1.6e-07
1464000      2.51e-02      5.40e-04      1.70e-02    1.5e-07
1466000      1.12e-02      2.06e-04      8.50e-03    1.5e-07
1468000      1.70e-02      4.65e-04      1.05e-02    1.5e-07
1470000      1.01e-02      9.54e-05      9.04e-03    1.5e-07
1472000      9.67e-03      1.32e-04      8.13e-03    1.5e-07
1474000      1.75e-02      4.93e-04      1.03e-02    1.4e-07
1476000      9.59e-03      1.39e-04      7.98e-03    1.4e-07
1478000      1.86e-02      5.50e-04      1.00e-02    1.4e-07
1480000      1.17e-02      2.13e-04      8.94e-03    1.4e-07
1482000      1.81e-02      5.27e-04      1.01e-02    1.4e-07
1484000      1.87e-02      5.41e-04      1.06e-02    1.4e-07
1486000      1.03e-02      1.63e-04      8.43e-03    1.3e-07
1488000      9.81e-03      1.38e-04      8.26e-03    1.3e-07
1490000      1.13e-02      1.85e-04      9.12e-03    1.3e-07
1492000      1.08e-02      2.01e-04      8.14e-03    1.3e-07
1494000      1.84e-02      5.59e-04      9.50e-03    1.3e-07
1496000      9.67e-03      1.26e-04      8.31e-03    1.2e-07
1498000      9.87e-03      1.16e-04      8.65e-03    1.2e-07
1500000      1.75e-02      5.26e-04      9.31e-03    1.2e-07
1502000      9.63e-03      1.24e-04      8.30e-03    1.2e-07
1504000      1.14e-02      2.08e-04      8.73e-03    1.2e-07
1506000      1.79e-02      5.13e-04      1.03e-02    1.2e-07
1508000      9.94e-03      1.50e-04      8.28e-03    1.1e-07
1510000      1.01e-02      1.68e-04      8.13e-03    1.1e-07
1512000      1.81e-02      5.35e-04      9.94e-03    1.1e-07
1514000      1.03e-02      1.29e-04      8.98e-03    1.1e-07
1516000      1.67e-02      4.32e-04      8.90e-03    1.1e-07
1518000      1.15e-02      2.07e-04      8.97e-03    1.0e-07
1520000      1.86e-02      5.48e-04      1.03e-02    1.0e-07
1522000      9.82e-03      1.54e-04      8.09e-03    1.0e-07
1524000      2.46e-02      4.08e-04      1.99e-02    1.0e-07
1526000      1.08e-02      2.00e-04      8.28e-03    1.0e-07
1528000      1.87e-02      5.57e-04      1.01e-02    1.0e-07
1530000      2.08e-02      3.77e-04      1.62e-02    9.8e-08
1532000      1.75e-02      5.10e-04      9.98e-03    9.8e-08
1534000      1.08e-02      1.90e-04      8.51e-03    9.8e-08
1536000      1.80e-02      4.61e-04      1.00e-02    9.8e-08
1538000      9.73e-03      1.23e-04      8.51e-03    9.8e-08
1540000      9.73e-03      1.41e-04      8.26e-03    9.2e-08
1542000      9.95e-03      1.70e-04      7.99e-03    9.2e-08
1544000      1.63e-02      2.97e-04      1.27e-02    9.2e-08
1546000      1.12e-02      1.82e-04      9.12e-03    9.2e-08
1548000      1.02e-02      1.66e-04      8.39e-03    9.2e-08
1550000      1.03e-02      1.59e-04      8.53e-03    9.2e-08
1552000      1.07e-02      1.68e-04      8.93e-03    8.6e-08
1554000      1.45e-02      2.66e-04      1.13e-02    8.6e-08
1556000      1.81e-02      5.68e-04      8.69e-03    8.6e-08
1558000      1.84e-02      5.81e-04      8.69e-03    8.6e-08
1560000      9.93e-03      1.57e-04      8.23e-03    8.6e-08
1562000      1.77e-02      5.17e-04      1.01e-02    8.0e-08
1564000      1.61e-02      4.35e-04      1.04e-02    8.0e-08
1566000      1.11e-02      1.84e-04      9.06e-03    8.0e-08
1568000      1.75e-02      3.65e-04      1.25e-02    8.0e-08
1570000      9.79e-03      1.35e-04      8.47e-03    8.0e-08
1572000      1.03e-02      1.91e-04      8.03e-03    8.0e-08
1574000      1.15e-02      2.29e-04      8.53e-03    7.5e-08
1576000      1.68e-02      4.76e-04      1.01e-02    7.5e-08
1578000      1.64e-02      4.26e-04      8.90e-03    7.5e-08
1580000      1.08e-02      1.72e-04      8.94e-03    7.5e-08
1582000      2.10e-02      3.55e-04      1.71e-02    7.5e-08
1584000      1.94e-02      4.71e-04      1.39e-02    7.0e-08
1586000      1.73e-02      4.91e-04      1.04e-02    7.0e-08
1588000      1.54e-02      4.71e-04      7.93e-03    7.0e-08
1590000      1.03e-02      1.41e-04      8.95e-03    7.0e-08
1592000      1.82e-02      5.35e-04      1.03e-02    7.0e-08
1594000      1.74e-02      4.98e-04      1.03e-02    7.0e-08
1596000      9.98e-03      1.53e-04      8.44e-03    6.6e-08
1598000      1.77e-02      5.11e-04      1.03e-02    6.6e-08
1600000      9.55e-03      1.24e-04      8.43e-03    6.6e-08
1602000      1.76e-02      5.15e-04      1.00e-02    6.6e-08
1604000      1.53e-02      3.81e-04      9.03e-03    6.6e-08
1606000      1.41e-02      3.38e-04      8.92e-03    6.2e-08
1608000      9.38e-03      1.21e-04      8.30e-03    6.2e-08
1610000      9.89e-03      1.73e-04      7.97e-03    6.2e-08
1612000      1.72e-02      5.01e-04      9.93e-03    6.2e-08
1614000      1.01e-02      1.43e-04      8.75e-03    6.2e-08
1616000      1.74e-02      4.94e-04      1.04e-02    6.2e-08
1618000      1.68e-02      4.76e-04      1.01e-02    5.8e-08
1620000      1.75e-02      5.00e-04      1.04e-02    5.8e-08
1622000      1.64e-02      3.20e-04      1.25e-02    5.8e-08
1624000      1.81e-02      5.39e-04      9.94e-03    5.8e-08
1626000      9.53e-03      1.26e-04      8.41e-03    5.8e-08
1628000      2.13e-02      3.80e-04      1.71e-02    5.4e-08
1630000      1.74e-02      4.37e-04      1.01e-02    5.4e-08
1632000      1.15e-02      2.19e-04      8.97e-03    5.4e-08
1634000      1.01e-02      1.47e-04      8.75e-03    5.4e-08
1636000      9.84e-03      1.17e-04      8.87e-03    5.4e-08
1638000      9.93e-03      1.69e-04      8.13e-03    5.4e-08
1640000      1.79e-02      5.28e-04      1.01e-02    5.1e-08
1642000      9.85e-03      1.35e-04      8.64e-03    5.1e-08
1644000      9.53e-03      1.51e-04      8.04e-03    5.1e-08
1646000      9.37e-03      1.41e-04      8.04e-03    5.1e-08
1648000      1.74e-02      5.04e-04      1.01e-02    5.1e-08
1650000      1.03e-02      1.51e-04      8.93e-03    4.7e-08
1652000      9.57e-03      1.43e-04      8.24e-03    4.7e-08
1654000      1.79e-02      5.25e-04      1.03e-02    4.7e-08
1656000      1.76e-02      5.03e-04      1.06e-02    4.7e-08
1658000      1.72e-02      5.02e-04      9.94e-03    4.7e-08
1660000      1.81e-02      5.40e-04      1.01e-02    4.7e-08
1662000      1.74e-02      5.10e-04      1.00e-02    4.4e-08
1664000      9.61e-03      1.52e-04      8.13e-03    4.4e-08
1666000      1.72e-02      4.34e-04      1.00e-02    4.4e-08
1668000      1.80e-02      5.77e-04      8.12e-03    4.4e-08
1670000      1.61e-02      3.02e-04      1.27e-02    4.4e-08
1672000      9.63e-03      1.58e-04      8.03e-03    4.1e-08
1674000      1.02e-02      1.61e-04      8.64e-03    4.1e-08
1676000      1.02e-02      1.54e-04      8.73e-03    4.1e-08
1678000      1.74e-02      5.05e-04      1.02e-02    4.1e-08
1680000      1.09e-02      1.77e-04      9.12e-03    4.1e-08
1682000      1.70e-02      4.84e-04      1.03e-02    4.1e-08
1684000      1.01e-02      1.72e-04      8.33e-03    3.9e-08
1686000      9.86e-03      1.68e-04      8.13e-03    3.9e-08
1688000      1.39e-02      2.51e-04      1.12e-02    3.9e-08
1690000      1.77e-02      4.51e-04      1.01e-02    3.9e-08
1692000      9.25e-03      1.28e-04      8.14e-03    3.9e-08
1694000      1.00e-02      1.45e-04      8.75e-03    3.6e-08
1696000      1.79e-02      5.29e-04      1.02e-02    3.6e-08
1698000      1.02e-02      1.46e-04      8.93e-03    3.6e-08
1700000      1.46e-02      3.58e-04      8.92e-03    3.6e-08
